
全国地方公共団体コード,都道府県名,市区町村名,受付_年月日,曜日,相談件数
221309,静岡県,浜松市,2020-01-29,水,27
221309,静岡県,浜松市,2020-01-30,木,52
221309,静岡県,浜松市,2020-01-31,金,61
221309,静岡県,浜松市,2020-02-01,土,5
221309,静岡県,浜松市,2020-02-02,日,2
221309,静岡県,浜松市,2020-02-03,月,67
221309,静岡県,浜松市,2020-02-04,火,36
221309,静岡県,浜松市,2020-02-05,水,24
221309,静岡県,浜松市,2020-02-06,木,20
221309,静岡県,浜松市,2020-02-07,金,28
221309,静岡県,浜松市,2020-02-08,土,3
221309,静岡県,浜松市,2020-02-09,日,3
221309,静岡県,浜松市,2020-02-10,月,19
221309,静岡県,浜松市,2020-02-11,火,3
221309,静岡県,浜松市,2020-02-12,水,29
221309,静岡県,浜松市,2020-02-13,木,16
221309,静岡県,浜松市,2020-02-14,金,35
221309,静岡県,浜松市,2020-02-15,土,17
221309,静岡県,浜松市,2020-02-16,日,4
221309,静岡県,浜松市,2020-02-17,月,71
221309,静岡県,浜松市,2020-02-18,火,62
221309,静岡県,浜松市,2020-02-19,水,56
221309,静岡県,浜松市,2020-02-20,木,57
221309,静岡県,浜松市,2020-02-21,金,56
221309,静岡県,浜松市,2020-02-22,土,21
221309,静岡県,浜松市,2020-02-23,日,20
221309,静岡県,浜松市,2020-02-24,月,47
221309,静岡県,浜松市,2020-02-25,火,124
221309,静岡県,浜松市,2020-02-26,水,136
221309,静岡県,浜松市,2020-02-27,木,140
221309,静岡県,浜松市,2020-02-28,金,99
221309,静岡県,浜松市,2020-02-29,土,41
221309,静岡県,浜松市,2020-03-01,日,36
221309,静岡県,浜松市,2020-03-02,月,185
221309,静岡県,浜松市,2020-03-03,火,136
221309,静岡県,浜松市,2020-03-04,水,119
221309,静岡県,浜松市,2020-03-05,木,106
221309,静岡県,浜松市,2020-03-06,金,96
221309,静岡県,浜松市,2020-03-07,土,30
221309,静岡県,浜松市,2020-03-08,日,17
221309,静岡県,浜松市,2020-03-09,月,144
221309,静岡県,浜松市,2020-03-10,火,90
221309,静岡県,浜松市,2020-03-11,水,95
221309,静岡県,浜松市,2020-03-12,木,76
221309,静岡県,浜松市,2020-03-13,金,92
221309,静岡県,浜松市,2020-03-14,土,46
221309,静岡県,浜松市,2020-03-15,日,21
221309,静岡県,浜松市,2020-03-16,月,121
221309,静岡県,浜松市,2020-03-17,火,81
221309,静岡県,浜松市,2020-03-18,水,87
221309,静岡県,浜松市,2020-03-19,木,96
221309,静岡県,浜松市,2020-03-20,金,24
221309,静岡県,浜松市,2020-03-21,土,27
221309,静岡県,浜松市,2020-03-22,日,17
221309,静岡県,浜松市,2020-03-23,月,99
221309,静岡県,浜松市,2020-03-24,火,65
221309,静岡県,浜松市,2020-03-25,水,140
221309,静岡県,浜松市,2020-03-26,木,95
221309,静岡県,浜松市,2020-03-27,金,204
221309,静岡県,浜松市,2020-03-28,土,119
221309,静岡県,浜松市,2020-03-29,日,200
221309,静岡県,浜松市,2020-03-30,月,413
221309,静岡県,浜松市,2020-03-31,火,467
221309,静岡県,浜松市,2020-04-01,水,419
221309,静岡県,浜松市,2020-04-02,木,428
221309,静岡県,浜松市,2020-04-03,金,444
221309,静岡県,浜松市,2020-04-04,土,246
221309,静岡県,浜松市,2020-04-05,日,146
221309,静岡県,浜松市,2020-04-06,月,422
221309,静岡県,浜松市,2020-04-07,火,324
221309,静岡県,浜松市,2020-04-08,水,336
