No,全国地方公共団体コード,都道府県名,市区町村名,公表_年月日,曜日,陽性患者人数,死亡者人数
1,221309,静岡県,浜松市,2020-01-29,水,0,0
2,221309,静岡県,浜松市,2020-01-30,木,0,0
3,221309,静岡県,浜松市,2020-01-31,金,0,0
4,221309,静岡県,浜松市,2020-02-01,土,0,0
5,221309,静岡県,浜松市,2020-02-02,日,0,0
6,221309,静岡県,浜松市,2020-02-03,月,0,0
7,221309,静岡県,浜松市,2020-02-04,火,0,0
8,221309,静岡県,浜松市,2020-02-05,水,0,0
9,221309,静岡県,浜松市,2020-02-06,木,0,0
10,221309,静岡県,浜松市,2020-02-07,金,0,0
11,221309,静岡県,浜松市,2020-02-08,土,0,0
12,221309,静岡県,浜松市,2020-02-09,日,0,0
13,221309,静岡県,浜松市,2020-02-10,月,0,0
14,221309,静岡県,浜松市,2020-02-11,火,0,0
15,221309,静岡県,浜松市,2020-02-12,水,0,0
16,221309,静岡県,浜松市,2020-02-13,木,0,0
17,221309,静岡県,浜松市,2020-02-14,金,0,0
18,221309,静岡県,浜松市,2020-02-15,土,0,0
19,221309,静岡県,浜松市,2020-02-16,日,0,0
20,221309,静岡県,浜松市,2020-02-17,月,0,0
21,221309,静岡県,浜松市,2020-02-18,火,0,0
22,221309,静岡県,浜松市,2020-02-19,水,0,0
23,221309,静岡県,浜松市,2020-02-20,木,0,0
24,221309,静岡県,浜松市,2020-02-21,金,0,0
25,221309,静岡県,浜松市,2020-02-22,土,0,0
26,221309,静岡県,浜松市,2020-02-23,日,0,0
27,221309,静岡県,浜松市,2020-02-24,月,0,0
28,221309,静岡県,浜松市,2020-02-25,火,0,0
29,221309,静岡県,浜松市,2020-02-26,水,0,0
30,221309,静岡県,浜松市,2020-02-27,木,0,0
31,221309,静岡県,浜松市,2020-02-28,金,0,0
32,221309,静岡県,浜松市,2020-02-29,土,0,0
33,221309,静岡県,浜松市,2020-03-01,日,0,0
34,221309,静岡県,浜松市,2020-03-02,月,0,0
35,221309,静岡県,浜松市,2020-03-03,火,0,0
36,221309,静岡県,浜松市,2020-03-04,水,0,0
37,221309,静岡県,浜松市,2020-03-05,木,0,0
38,221309,静岡県,浜松市,2020-03-06,金,0,0
39,221309,静岡県,浜松市,2020-03-07,土,0,0
40,221309,静岡県,浜松市,2020-03-08,日,0,0
41,221309,静岡県,浜松市,2020-03-09,月,0,0
42,221309,静岡県,浜松市,2020-03-10,火,0,0
43,221309,静岡県,浜松市,2020-03-11,水,0,0
44,221309,静岡県,浜松市,2020-03-12,木,0,0
45,221309,静岡県,浜松市,2020-03-13,金,0,0
46,221309,静岡県,浜松市,2020-03-14,土,0,0
47,221309,静岡県,浜松市,2020-03-15,日,0,0
48,221309,静岡県,浜松市,2020-03-16,月,0,0
49,221309,静岡県,浜松市,2020-03-17,火,0,0
50,221309,静岡県,浜松市,2020-03-18,水,0,0
51,221309,静岡県,浜松市,2020-03-19,木,0,0
52,221309,静岡県,浜松市,2020-03-20,金,0,0
53,221309,静岡県,浜松市,2020-03-21,土,0,0
54,221309,静岡県,浜松市,2020-03-22,日,0,0
55,221309,静岡県,浜松市,2020-03-23,月,0,0
56,221309,静岡県,浜松市,2020-03-24,火,0,0
57,221309,静岡県,浜松市,2020-03-25,水,0,0
58,221309,静岡県,浜松市,2020-03-26,木,0,0
59,221309,静岡県,浜松市,2020-03-27,金,0,0
60,221309,静岡県,浜松市,2020-03-28,土,0,0
61,221309,静岡県,浜松市,2020-03-29,日,1,0
62,221309,静岡県,浜松市,2020-03-30,月,0,0
63,221309,静岡県,浜松市,2020-03-31,火,0,0
64,221309,静岡県,浜松市,2020-04-01,水,1,0
65,221309,静岡県,浜松市,2020-04-02,木,0,0
66,221309,静岡県,浜松市,2020-04-03,金,1,0
67,221309,静岡県,浜松市,2020-04-04,土,0,0
68,221309,静岡県,浜松市,2020-04-05,日,0,0
69,221309,静岡県,浜松市,2020-04-06,月,0,0
70,221309,静岡県,浜松市,2020-04-07,火,0,0
71,221309,静岡県,浜松市,2020-04-08,水,4,0
